127.0.0.1 - - [19/Sep/2021:11:15:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:40:19 +0900] "GET /css/NewFile.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:40:46 +0900] "GET /css/NewFile.html HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:40:59 +0900] "GET /css/NewFile.html HTTP/1.1" 200 461
0:0:0:0:0:0:0:1 - - [19/Sep/2021:12:41:17 +0900] "GET /css/NewFile.html HTTP/1.1" 200 493
0:0:0:0:0:0:0:1 - - [19/Sep/2021:13:18:35 +0900] "GET /css/NewFile.html HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [19/Sep/2021:13:18:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:36:52 +0900] "GET /css/NewFile.html HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:37:26 +0900] "GET /css/NewFile.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:37:56 +0900] "GET /css/NewFile.html HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:40:04 +0900] "GET /css/NewFile.html HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:40:15 +0900] "GET /css/NewFile.html HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:40:17 +0900] "GET /css/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:40:18 +0900] "GET /css/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:40:19 +0900] "GET /css/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:40:21 +0900] "GET /css/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:40:22 +0900] "GET /css/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:40:23 +0900] "GET /css/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:40:37 +0900] "GET /css/NewFile.html HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:40:38 +0900] "GET /css/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:40:55 +0900] "GET /css/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:41:13 +0900] "GET /css/NewFile.html HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:49:48 +0900] "GET /css/NewFile.html HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:49:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:50:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:50:49 +0900] "GET /css/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:50:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:56:59 +0900] "GET /css/NewFile.html HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [19/Sep/2021:15:56:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:13:11 +0900] "GET /css/NewFile.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:13:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:13:45 +0900] "GET /css/NewFile.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:13:45 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:14:05 +0900] "GET /css/NewFile.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:14:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:17:14 +0900] "GET /css/NewFile.html HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:17:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:18:27 +0900] "GET /css/NewFile.html HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [19/Sep/2021:16:18:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:06:13 +0900] "GET /css/NewFile.html HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:06:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:06:38 +0900] "GET /css/NewFile.html HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:06:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:06:45 +0900] "GET /css/NewFile.html HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:06:46 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:11:39 +0900] "GET /css/NewFile.html HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:12:25 +0900] "GET /css/NewFile.html HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:12:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:12:50 +0900] "GET /css/NewFile.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [19/Sep/2021:17:12:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:25:35 +0900] "GET /css/NewFile.html HTTP/1.1" 200 523
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:25:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:28:53 +0900] "GET /css/NewFile.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:28:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:29:03 +0900] "GET /css/NewFile.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:29:35 +0900] "GET /css/NewFile.html HTTP/1.1" 200 565
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:29:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:29:47 +0900] "GET /css/NewFile.html HTTP/1.1" 200 653
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:29:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:30:04 +0900] "GET /css/NewFile.html HTTP/1.1" 200 711
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:30:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:33:03 +0900] "GET /css/05_cssPositioning/exam11.html HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:33:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:33:14 +0900] "GET /css/NewFile.html HTTP/1.1" 200 732
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:33:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:36:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:36:42 +0900] "GET /css/NewFile.html HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:36:42 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:37:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:37:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:37:27 +0900] "GET /css/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:37:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:38:32 +0900] "GET /css/NewFile.html HTTP/1.1" 200 838
0:0:0:0:0:0:0:1 - - [19/Sep/2021:19:38:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:11:35 +0900] "GET /css/NewFile.html HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:11:35 +0900] "GET /img/spade-A.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:11:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:12:10 +0900] "GET /css/05_cssPositioning/exam09.html HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:12:10 +0900] "GET /css/img/spade-A.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:12:10 +0900] "GET /css/img/spade-2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:12:10 +0900] "GET /css/img/spade-7.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:12:10 +0900] "GET /css/img/spade-3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:12:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:13:04 +0900] "GET /css/NewFile.html HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:13:04 +0900] "GET /img/spade-7.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:13:04 +0900] "GET /img/spade-A.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:13:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:13:32 +0900] "GET /css/NewFile.html HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:13:32 +0900] "GET /img/spade-7.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:13:32 +0900] "GET /img/spade-A.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:13:32 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:14:10 +0900] "GET /css/NewFile.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:14:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:14:53 +0900] "GET /css/NewFile.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:14:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:15:02 +0900] "GET /css/NewFile.html HTTP/1.1" 200 480
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:15:27 +0900] "GET /css/NewFile.html HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:15:37 +0900] "GET /css/NewFile.html HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:15:37 +0900] "GET /img/spade-2.png HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:15:44 +0900] "GET /css/NewFile.html HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [19/Sep/2021:22:16:14 +0900] "GET /css/NewFile.html HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:34:14 +0900] "GET /css/05_cssPositioning/exam08.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:34:14 +0900] "GET /css/img/christmastree.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:34:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:35:09 +0900] "GET /css/NewFile.html HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:41:32 +0900] "GET /css/NewFile.html HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:41:32 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:42:20 +0900] "GET /css/NewFile.html HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:42:20 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:42:32 +0900] "GET /css/NewFile.html HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:42:32 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:42:36 +0900] "GET /css/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:42:36 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:42:46 +0900] "GET /css/NewFile.html HTTP/1.1" 200 416
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:42:46 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:46:35 +0900] "GET /css/NewFile.html HTTP/1.1" 200 415
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:46:35 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:46:56 +0900] "GET /css/NewFile.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:46:56 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:47:10 +0900] "GET /css/NewFile.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:47:10 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:47:33 +0900] "GET /css/NewFile.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:47:33 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:47:50 +0900] "GET /css/NewFile.html HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:47:50 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:47:57 +0900] "GET /css/NewFile.html HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:47:57 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:48:07 +0900] "GET /css/NewFile.html HTTP/1.1" 200 434
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:48:07 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:48:26 +0900] "GET /css/NewFile.html HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [19/Sep/2021:23:48:26 +0900] "GET /css/img/christmanstree.png HTTP/1.1" 404 841
